momentum_3,momentum_5,momentum_10,volatility_5,volatility_10,hl_range,oc_range,rolling_mean_5,rolling_std_5,lag_1,lag_2,lag_3
0.01,0.02,0.03,0.15,0.18,0.02,0.01,150.5,2.1,0.005,0.004,0.003
0.012,0.018,0.028,0.14,0.17,0.021,0.009,150.8,2.0,0.006,0.005,0.004
0.011,0.019,0.029,0.145,0.175,0.02,0.01,151.0,2.05,0.0055,0.0045,0.0035
0.013,0.021,0.031,0.142,0.172,0.019,0.011,151.2,2.02,0.0062,0.0051,0.0041
0.014,0.022,0.032,0.141,0.171,0.018,0.012,151.4,2.0,0.0065,0.0053,0.0043
0.015,0.023,0.033,0.14,0.17,0.017,0.013,151.6,1.98,0.007,0.0055,0.0045
0.016,0.024,0.034,0.139,0.169,0.016,0.014,151.8,1.96,0.0072,0.0057,0.0047
0.017,0.025,0.035,0.138,0.168,0.015,0.015,152.0,1.94,0.0075,0.006,0.005
0.018,0.026,0.036,0.137,0.167,0.014,0.016,152.2,1.92,0.0078,0.0062,0.0052
0.019,0.027,0.037,0.136,0.166,0.013,0.017,152.4,1.9,0.008,0.0065,0.0055
0.02,0.028,0.038,0.135,0.165,0.012,0.018,152.6,1.88,0.0082,0.0068,0.0058
0.021,0.029,0.039,0.134,0.164,0.011,0.019,152.8,1.86,0.0085,0.007,0.006
0.022,0.03,0.04,0.133,0.163,0.01,0.02,153.0,1.84,0.009,0.0072,0.0062
0.023,0.031,0.041,0.132,0.162,0.009,0.021,153.2,1.82,0.0092,0.0075,0.0065
0.024,0.032,0.042,0.131,0.161,0.008,0.022,153.4,1.8,0.0095,0.0078,0.0068
0.025,0.033,0.043,0.13,0.16,0.007,0.023,153.6,1.78,0.01,0.008,0.007
0.026,0.034,0.044,0.129,0.159,0.006,0.024,153.8,1.76,0.0102,0.0082,0.0072
0.027,0.035,0.045,0.128,0.158,0.005,0.025,154.0,1.74,0.0105,0.0085,0.0075
0.028,0.036,0.046,0.127,0.157,0.004,0.026,154.2,1.72,0.011,0.009,0.008
0.029,0.037,0.047,0.126,0.156,0.003,0.027,154.4,1.7,0.0112,0.0092,0.0082
0.03,0.038,0.048,0.125,0.155,0.002,0.028,154.6,1.68,0.0115,0.0095,0.0085
0.031,0.039,0.049,0.124,0.154,0.001,0.029,154.8,1.66,0.012,0.01,0.009
0.032,0.04,0.05,0.123,0.153,0.0,0.03,155.0,1.64,0.0125,0.0105,0.0095
0.033,0.041,0.051,0.122,0.152,-0.001,0.031,155.2,1.62,0.013,0.011,0.01
0.034,0.042,0.052,0.121,0.151,-0.002,0.032,155.4,1.6,0.0135,0.0115,0.0105
0.035,0.043,0.053,0.12,0.15,-0.003,0.033,155.6,1.58,0.014,0.012,0.011
0.036,0.044,0.054,0.119,0.149,-0.004,0.034,155.8,1.56,0.0145,0.0125,0.0115
0.037,0.045,0.055,0.118,0.148,-0.005,0.035,156.0,1.54,0.015,0.013,0.012
0.038,0.046,0.056,0.117,0.147,-0.006,0.036,156.2,1.52,0.0155,0.0135,0.0125
0.039,0.047,0.057,0.116,0.146,-0.007,0.037,156.4,1.5,0.016,0.014,0.013
0.04,0.048,0.058,0.115,0.145,-0.008,0.038,156.6,1.48,0.0165,0.0145,0.0135
